,Name,MarketCap,Price,Volume24h,CirculatingSupply,Change24h,timestamp
0,Bitcoin,91768922682.8,5203.99790379,17434716133.4,17634312.0,0.881049,20190408155058
1,Ethereum,18701026966.3,177.137362445,9388791636.66,105573588.249,5.48956,20190408155058
2,XRP,14792743880.5,0.354370140195,1565616213.79,41743765071.0,-1.6658,20190408155058
3,Bitcoin Cash,5411353681.66,305.430041727,2173275768.02,17717162.5,-5.07183,20190408155058
4,Litecoin,5403833438.4,88.2249352522,3322996045.55,61250636.489,-5.22443,20190408155058
0,Bitcoin,91783568972.9,5204.82846016,17438202343.8,17634312.0,0.897149,20190408155344
1,Ethereum,18709699070.3,177.219505187,9382613648.83,105573588.249,5.53848,20190408155344
2,XRP,14793983492.1,0.354399835927,1565458393.25,41743765071.0,-1.65756,20190408155344
3,Bitcoin Cash,5413800641.01,305.5681541,2173455052.11,17717162.5,-5.0289,20190408155344
4,Litecoin,5407599236.81,88.2864170363,3325835892.87,61250636.489,-5.15839,20190408155344
0,Bitcoin,91747217144.2,5202.76703419,17431814453.3,17634312.0,0.851708,20190408155630
1,Ethereum,18677682865.0,176.916245576,9380687894.09,105573588.249,5.35608,20190408155630
2,XRP,14788548454.9,0.35426963595,1565161623.82,41743765071.0,-1.68328,20190408155630
3,Bitcoin Cash,5418294463.34,305.821796427,2174448837.87,17717162.5,-4.92139,20190408155630
4,Litecoin,5404379865.38,88.2338564163,3325719623.15,61250636.489,-5.17586,20190408155630
0,Bitcoin,91743132414.4,5202.53539885,17420269439.7,17634312.0,0.847218,20190408155916
1,Ethereum,18641761895.2,176.575632656,9384014154.01,105573807.749,5.15324,20190408155916
2,XRP,14770032108.5,0.353826064405,1564337847.76,41743765071.0,-1.80638,20190408155916
3,Bitcoin Cash,5401198445.32,304.856210085,2170305406.32,17717200.0,-5.22158,20190408155916
4,Litecoin,5391471531.29,88.0228947306,3325076156.16,61250786.489,-5.40258,20190408155916
0,Bitcoin,91585810035.2,5193.61401994,17289884171.3,17634312.0,0.674378,20190408160202
1,Ethereum,18601619003.0,176.195397321,9341493467.58,105573807.749,4.93181,20190408160202
2,XRP,14753612517.3,0.353432722041,1558737417.73,41743765071.0,-1.89749,20190408160202
3,Litecoin,5387902335.6,87.9646228961,3319103175.03,61250786.489,-5.41603,20190408160202
4,Bitcoin Cash,5379081651.53,303.607886773,2160438503.05,17717200.0,-5.58565,20190408160202
0,Bitcoin,91583272828.7,5193.47014098,17288611462.1,17634312.0,0.671589,20190408160448
1,Ethereum,18614064195.8,176.313278764,9345340294.64,105573807.749,5.00201,20190408160448
2,XRP,14744184491.1,0.353206867326,1555452704.41,41743765071.0,-1.96018,20190408160448
3,Bitcoin Cash,5384264279.3,303.900406345,2151406670.8,17717200.0,-5.49469,20190408160448
4,Litecoin,5381049084.85,87.8527345247,3305633270.17,61250786.489,-5.53634,20190408160448
